nom,type,date_construction,siecle,pays,lat_dms,long_dms,Lat,Long
Šariš,Château,1250,13,Hongrie,49.0317,21.1040,49.0547222,21.17777777777778
Neu-Bechburg,Château,1250,13,Suisse,47.1750,7.4307,47.2972222,7.7186111111111115
Malmö,Forteresse,1254,13,Suède,55.3500,13.0200,55.5833333,13.033333333333333
Kamyanets,Tour,1260,13,Biélorussie,52.241715,23.491028,52.4047222,23.819444444444443
Buda,Château,1265,13,Hongrie,47.2946,19.0223,47.4961111,19.039722222222224
Orava,Château,1267,13,Slovaquie,49.1542,19.2132,49.2616667,19.35888888888889
Corroy-le-Château,Château,1270,13,Belgique,50.3158,4.3921,50.5327778,4.655833333333334
Gruyères,Château,1270,13,Suisse,46.3505,7.0502,46.5847222,7.083888888888889
Devin,Château,1271,13,Slovaquie,48.1025,16.5842,48.1736111,16.97833333333333
Bulle,Château,1273,13,Suisse,46.3703,7.0329,46.6175,7.058055555555556
Bonaguil,Château,1271,13,France,44.3218,1.1951,44.5383333,1.3308333333333333
Predjama,Château,1274,13,Slovénie,45.48560891,14.07356614,45.8155556,14.12638888888889
Brandenburg,Château,1275,13,Russie,54.3651,20.1455,54.6141667,20.248611111111114
Malbork,Forteresse,1280,13,Pologne,54.0232,19.0154,54.0422222,19.031666666666666
Muiden,Château,1280,13,Pays-Bas,52.2004,5.0417,52.3344444,5.0713888888888885
Turku,Château,1280,13,Finlande,60.2607,22.1341,60.4352778,22.028055555555554
Doorwerth,Château,1280,13,Pays-Bas,51.5841,5.4743,51.9780556,5.795277777777778
Grabštejn,Château,1286,13,République tchèque,50.5046,14.5234,50.8461111,14.876111111111111
Vaduz,Château,1285,13,Liechtenstein,47.0830,9.3110,47.1416667,9.519444444444446
Varberg,Forteresse,1287,13,Suède,57.064,12.144,57.1011111,12.234444444444444
Ragnit,Château,1289,13,Russie,55.0221,22.0148,55.0391667,22.029999999999998
Ehrenberg,Château,1290,13,Autriche,47.2756,10.4306,47.4655556,10.718333333333334
Gniew,Château,1290,13,Pologne,53.5003,18.4940,53.8341667,18.82777777777778
Akershus,Citadelle,1290,13,Norvège,59.5423,10.4410,59.9063889,10.73611111111111
Klenová,Château,1291,13,République tchèque,49.1955,13.1344,49.3319444,13.22888888888889
Vyborg,Château,1293,13,Russie,60.4257,28.4346,60.7158333,28.729444444444443
Peniscola,Château,1294,13,Espagne,40.2132,0.2429,40.3588889,0.40805555555555556
Konopišt?,Château,1294,13,République tchèque,49.4646,14.3934,49.7794444,14.659444444444444
Montgri,Château,1294,13,Espagne,42.030671,3.075295,42.0516667,3.131111111111111
Siklós,Château,1294,13,Hongrie,45.5108,18.1745,45.8522222,18.295833333333334
San Marcos,Château,1295,13,Espagne,36.3547,6.1336,36.5963889,-6.226666666666667
Sabugal,Forteresse,1295,13,Portugal,40.2105,7.0539,40.3513889,-7.094166666666666
Beersel,Château,1300,13,Belgique,50.4556,4.1759,50.7655556,4.299722222222222
Häme,Château,1300,13,Finlande,61.0012,24.27349,61.0033333,24.459444444444443
Bohus,Forteresse,1308,14,Suède,57.5145,11.5955,57.8625,11.99861111111111
F?g?ra?,Château,1310,14,Roumanie,45.5043,24.5825,45.8452778,24.973611111111108
Königsberg,Château,1312,14,Russie,54.423678,20.303884,54.71,20.510555555555555
Stre?no,Château,1316,14,Slovaquie,49.1028,18.5143,49.1744444,18.861944444444447
Niedzica,Château,1320,14,Pologne,49.25203,20.191071,49.4222222,20.319444444444443
Visegrád,Château,1323,14,Hongrie,47.4737,18.5850,47.7936111,18.980555555555554
Chlisselbourg,Forteresse,1325,14,Russie,59.57,31.02,59.95,31.033333333333335
Khotin,Forteresse,1325,14,Ukraine,48.3119,26.2954,48.5219444,26.498333333333335
Cordoue,Château,1328,14,Espagne,37.5238,4.4655,37.8772222,-4.781944444444444
Lida,Château,1330,14,Biélorussie,53.5314,25.1810,53.8872222,25.302777777777777
Riga,Château,1330,14,Lettonie,56.5703,24.0602,56.9508333,24.100555555555555
Krásna Hôrka,Château,1333,14,Slovaquie,48.3930,20.3601,48.6583333,20.60027777777778
Cetin,Château,1334,14,Croatie,45.0818,15.4354,45.1383333,15.731666666666667
Erdut,Château,1335,14,Croatie,45.3136,19.0351,45.5266667,19.06416666666667
Golubac,Forteresse,1335,14,Serbie,44.3941,21.4044,44.6613889,21.67888888888889
Kropfenstein,Château,1335,14,Suisse,46.4610,9.0604,46.7694444,9.101111111111111
Ba?,Forteresse,1338,14,Serbie,45.2335,19.1338,45.3930556,19.22722222222222
Kremlin d'Alexandrov,Château,1339,14,Russie,56.24,38.43,56.4,38.71666666666667
Alcalá la Real,Château,1341,14,Espagne,37.11,3.0355,37.1833333,-3.0652777777777778
Al?ksne,Château,1342,14,Lettonie,57.2514,27.0255,57.4205556,27.048611111111114
Meilgaard,Château,1345,14,Danemark,56.3005,10.3939,56.5013889,10.660833333333334
Karlštejn,Château,1348,14,République tchèque,49.5622,14.1117,49.9394444,14.188055555555556
Bobovac,Forteresse,1349,14,Bosnie,44.0952,18.1942,44.1644444,18.311666666666667
Ammersoyen,Château,1350,14,Pays-Bas,51.45,5.13,51.75,5.216666666666667
Belogradchik,Forteresse,1350,14,Bulgarie,43.3724,22.4038,43.6233333,22.677222222222223
Kamianets-Podilskyï,Forteresse,1350,14,Ukraine,48.4029,26.3425,48.6747222,26.57361111111111
Ostroh,Château,1350,14,Ukraine,50.2000,26.3100,50.3333333,26.516666666666666
Wawel,Château,1350,14,Pologne,50.0316,19.5612,50.0544444,19.936666666666667
Montechiaro,Château,1353,14,Italie,37.110113,13.414478,37.1836111,13.695555555555556
Wesenberg,Château,1356,14,Estonie,59.2052,26.2108,59.3477778,26.352222222222224
Loevenstein,Château,1357,14,Pays-Bas,51.4859,5.0117,51.8163889,5.021388888888889
Hoensbroek,Château,1360,14,Pays-Bas,50.5515,5.5536,50.9208333,5.926666666666667
Sforza,Château,1360,14,Italie,45.2813,9.1046,45.4702778,9.179444444444444
Kaunas,Château,1361,14,Lituanie,54.54,23.56,54.9,23.933333333333334
Vincennes,Château,1364,14,France,48.5034,2.2609,48.8427778,2.4358333333333335
Kremlin de Moscou,Château,1366,14,Russie,55.4509,37.3702,55.7525,37.617222222222225
Gripsholm,Château,1370,14,Suède,59.1522,17.1309,59.2561111,17.219166666666666
Bodiam,Château,1385,14,Grande-Bretagne,51.0009,0.3237,51.0025,0.5436111111111112
Kastelholm,Château,1388,14,Finlande,60.1359,20.0450,60.2330556,20.080555555555556
Olesko,Château,1390,14,Ukraine,49.5806,24.5402,49.9683333,24.900555555555552
Tourbillon Sierre,Château,1390,14,Suisse,46.11353,9.01207,46.1930556,9.022222222222224
Medininkai,Château,1392,14,Lituanie,54.3220,25.3900,54.5388889,25.65
Vilnius,Château,1409,15,Lituanie,54.4112,25.1727,54.6866667,25.290833333333335
Mespelbrunn,Château,1412,15,Allemagne,49.541951,9.182644,49.9052778,9.307222222222222
Sedan,Château,1424,15,France,49.4207,"4,5658",49.7019444,4.9494444444444445
Skanderbeg,Château,1450,15,Albanie,41.3509,19.2654,41.5858333,19.448333333333334
Tivoli,Château,1458,15,Italie,41.5736,12.4754,41.96,12.798333333333334
Schachenstein,Château,1464,15,Autriche,47.3107,15.1312,47.5186111,15.22
Tolsburg,Château,1471,15,Estonie,59.3205,28.13,59.5347222,28.216666666666665
Mir,Château,1476,15,Biélorussie,53.2704,26.2823,53.4511111,26.473055555555554
Ivangorod,Forteresse,1492,15,Russie,59.22,28.13,59.3666667,28.216666666666665
Veliki Tabor,Château,1497,15,Croatie,46.0917,15.3904,46.1547222,15.651111111111112
Soroca,Forteresse,1499,15,Moldavie,48.0940,28.1819,48.1611111,28.30527777777778
Petrelë,Château,1500,15,Albanie,41.1518,19.5114,41.255,41.418055555555554
Ross,Château,1500,15,Irlande,52.0229,9.3151,52.0413889,52.07027777777778
