nom,lieu_actuel,date,pays,adresse,lat,long
Grégoire Gambier,Bretagne,1969,France,"Bretagne, France",48.2020471,-2.9326435
Marcel Gauchet,Poilley,1946,France,"Poilley, France",48.6181849,-1.310215
Charles de Gaulle,Lille,1890,France,"Lille , France",50.62925,3.057256
Théophile Gautier,Trabes,1811,France,"Trabes, France",47.6126239,5.970829
Jean-François Gautier,Paris,1950,France,"Paris, France",48.856614,2.3522219
Falk van Gaver,Paris 15,1979,France,"Paris 15, France",48.8421297,2.2927047
Maurice Genevoix,Decize,1890,France,"Decize , France",46.82858299999999,3.461317
Christopher Gérard,New-York,1962,USA,"New-York, USA",40.7127753,-74.0059728
Edward Gibbon,Putney,1737,UK,"Putney , UK",51.4596431,-0.2141257
Jean Giono,Manosque,1895,France,"Manosque , France",43.835744,5.790916
Glenmor,Maël-Carhaix,1931,France,"Maël-Carhaix, France",48.2830299,-3.423329
Nicolás Gómez Dávila,Bogota,1913,Colombie,"Bogota , Colombie",4.710988599999999,-74.072092
Josef Görres,Coblence,1776,Allemagne,"Coblence , Allemagne",50.3569429,7.5889959
Antonio Gramsci,Ales,1891,Italie,"Ales , Italie",39.7699147,8.811501
Pierre Gripari,Paris,1925,France,"Paris, France",48.856614,2.3522219
Éric Grolier,Paris,1911,France,"Paris, France",48.856614,2.3522219
Henri Guaino,Arles,1957,France,"Arles, France",43.676647,4.6277769
René Guénon,Blois,1886,France,"Blois, France",47.58609209999999,1.3359475
Gunnar Gunnarsson,Valþjófsstadur,1889,Islande,"Valþjófsstadur , Islande",64.963051,-19.020835
Pierre Hadot,Paris,1922,France,"Paris, France",48.856614,2.3522219
Friedrich Hegel,Stuttgart,1770,France,"Stuttgart , France",48.77809999999999,9.16836
Martin Heidegger,Meßkirch,1889,Allemagne,"Meßkirch , Allemagne",47.9944211,9.1156399
Pierre-Jakez Hélias,Pouldreuzic,1914,France,"Pouldreuzic , France",47.954963,-4.360672
Hérodote,Bodrum,-480,Turquie,"Bodrum, Turquie",37.034407,27.43054
Hermann Hesse,Calw,1877,Allemagne,"Calw , Allemagne",48.7122107,8.747243899999999
Thomas Hobbes,Westport,1588,Irlande,"Westport , Irlande",53.80213070000001,-9.514346699999999
Friedrich Hölderlin,Lauffen,1770,Allemagne,"Lauffen, Allemagne",49.0720251,9.1460062
Horace,Vénouse,-65,Italie,"Vénouse , Italie",40.9607672,15.815423
Michel Houellebecq,Saint-Pierre,1956,"France, la Réunion","Saint-Pierre, France, la Réunion",-21.3222914,55.5025595
Victor Hugo,Besançon,1802,France,"Besançon, France",47.237829,6.024053899999999
Jean-René Huguenin,Paris,1936,France,"Paris, France",48.856614,2.3522219
Edmund Husserl,Prostějov,1859,Tchéquie,"Prostějov, Tchéquie",49.4724489,17.1067513
Joris-Karl Huysmans,Paris,1848,France,"Paris, France",48.856614,2.3522219
Arnaud Imatz,Bayonne,1948,France,"Bayonne , France",43.492949,-1.474841
François Jacques,Bourges,1946,France,"Bourges , France",47.081012,2.398782
Patrice Jean,Nantes,1966,France,"Nantes , France",47.218371,-1.553621
Thomas Jefferson,Charlottesville,1743,USA,"Charlottesville, USA",38.0293059,-78.47667810000002
Bertrand de Jouvenel,Paris,1903,France,"Paris, France",48.856614,2.3522219
Jacques Julliard,Brénod,1933,France,"Brénod , France",46.059372,5.605811
Carl Gustav Jung,Kesswil,1875,Suisse,"Kesswil , Suisse",47.5935362,9.3177304
Ernst Jünger,Heidelberg,1895,Allemagne,"Heidelberg , Allemagne",49.3987524,8.6724335
Hervé Juvin,Malestroit,1956,France,"Malestroit , France",47.810173,-2.383339
Olivier de Kersauson,Bonnétable,1944,France,"Bonnétable , France",48.178847,0.424766
Rudyard Kipling,Bombay,1865,Inde,"Bombay, Inde",19.0759837,72.8776559
Erik L’Homme,Grenoble,1967,France,"Grenoble, France",45.188529,5.724524
Étienne de La Boétie,Sarlat-la-Canéda,1530,France,"Sarlat-la-Canéda, France",44.890891,1.217292
Henri de La Rochejaquelein,Châtillon-sur-Sèvre,1772,France,"Châtillon-sur-Sèvre, France",46.922909,-0.750806
Diogène Laërce,İznik,180,Turquie,"İznik, Turquie",40.429524,29.719743
Georges Laffly,Blida,1932,Algérie,"Blida , Algérie",36.4735715,2.8323153
Eugen Guido Lammer,Rosenburg-Mol,1863,Autriche,"Rosenburg-Mol, Autriche",45.5154553,-73.5623129
Sébastien Lapaque,Tübingen,1971,Allemagne,"Tübingen , Allemagne",48.5216364,9.0576448
Christopher Lasch,Omaha,1932,"Nebraska, USA","Omaha , Nebraska, USA",41.2565369,-95.9345034
Gustave Le Bon,Nogent-le-Rotrou,1841,France,"Nogent-le-Rotrou, France",48.321762,0.8217759
Michel Le Bris,Plougasnou,1944,France,"Plougasnou , France",48.695548,-3.790033
Jean-Yves Le Gallou,Paris 14,1948,France,"Paris 14, France",48.8313922,2.3254388
Charles-Marie Leconte de Lisle,"Saint-Paul, la réunion",1818,,"Saint-Paul, la réunion,",-21.0452623,55.33647029999999
Claude Lévi-Strauss,Bruxelles,1908,Belgique,"Bruxelles , Belgique",50.8503396,4.3517103
Clive Staples Lewis,Belfast,1898,Irlande,"Belfast , Irlande",54.59728500000001,-5.93012
Jack London,San Francisco,1876,USA,"San Francisco , USA",37.7749295,-122.4194155
Albert Londres,Vichy,1884,France,"Vichy , France",46.131859,3.425488
Hermann Löns,Chełmno,1866,Pologne,"Chełmno, Pologne",53.34842,18.4249899
Konrad Lorenz,Vienne,1903,Autriche,"Vienne, Autriche",48.2081743,16.3738189
Michael Löwy,São Paulo,1938,Brésil,"São Paulo, Brésil",-23.5557714,-46.6395571
Bernard Lugan,Meknès,1946,Maroc,"Meknès, Maroc",33.8730164,-5.5407299
Jean Mabire,Paris,1927,France,"Paris, France",48.856614,2.3522219
Douglas MacArthur,"Little Rock, Arkansas",1880,USA,"Little Rock, Arkansas , USA",34.7464809,-92.28959479999999
Nicolas Machiavel,Florence,1469,Italie,"Florence, Italie",43.7695604,11.2558136
Michel Maffesoli,Graissessac,1944,France,"Graissessac , France",43.679435,3.094231
André Malraux,Paris 18,1901,France,"Paris 18, France",48.8915575,2.3496507
Pierre Manent,Toulouse,1949,France,"Toulouse, France",43.604652,1.444209
Laurent Maréchaux,Nogent-sur-Marne,1952,France,"Nogent-sur-Marne, France",48.83763099999999,2.481699
Jacques Marlaud,Alger,1944,Algérie,"Alger , Algérie",36.753768,3.0587561
Xavier Marmier,Pontarlier,1808,France,"Pontarlier , France",46.9041039,6.354241999999999
Karl Marx,Trèves,1818,Allemagne,"Trèves , Allemagne",49.749992,6.6371433
Thierry Maulnier,Alès,1909,France,"Alès , France",44.127204,4.083352
Guy de Maupassant,Tourville-sur-Arques,1850,France,"Tourville-sur-Arques, France",49.858616,1.095163
Charles Maurras,Martigues,1868,France,"Martigues , France",43.404811,5.053728
Bruno Mégret,Paris,1949,France,"Paris, France",48.856614,2.3522219
Jean-Pierre Melville,Paris,1917,France,"Paris, France",48.856614,2.3522219
Louis Ménard,Paris,1822,France,"Paris, France",48.856614,2.3522219
Robert Ménard,Oran,1953,Algérie,"Oran, Algérie",35.6987388,-0.6349319
Thibault Mercier,Niort,1985,France,"Niort , France",46.323716,-0.4647769999999999
Jean-Claude Michéa,Paris,1950,France,"Paris, France",48.856614,2.3522219
Henry Miller,New York,1891,USA,"New York, USA",40.7127753,-74.0059728
Richard Millet,Viam,1953,France,"Viam , France",45.609164,1.883311
Octave Mirbeau,Trévières,1848,France,"Trévières , France",49.304371,-0.9142969999999999
Yukio Mishima,"Yotsuya, Tokyo",1925,Japon,"Yotsuya, Tokyo, Japon",35.68537269999999,139.7287997
Frédéric Mistral,Maillane,1830,France,"Maillane, France",43.832349,4.782098
Arthur Moeller van den Bruck,Solingen,1876,Allemagne,"Solingen, Allemagne",51.1652199,7.0671161
Thomas Molnar,Budapest,1921,Hongrie,"Budapest, Hongrie",47.497912,19.040235
Serge Mongeau,Montréal,1937,Canada,"Montréal, Canada",45.5016889,-73.567256
Jules Monnerot,"Fort-de-France, Martinique",1909,France,"Fort-de-France, Martinique, France",14.6160647,-61.0587804
Henry de Montherlant,Paris,1895,France,"Paris, France",48.856614,2.3522219
Paul Morand,Paris,1888,France,"Paris, France",48.856614,2.3522219
Philippe Muray,Angers,1945,France,"Angers , France",47.47116159999999,-0.5518257
Gérard de Nerval,Paris,1808,France,"Paris, France",48.856614,2.3522219
Sergueï Netchaïev,Ivanovo,1947,France,"Ivanovo , France",45.4990092,-73.7609825
Sébastien-Roch Nicolas de Chamfort,Clermont-Ferran,1741,France,"Clermont-Ferran, France",45.77722199999999,3.087025
Friedrich Nietzsche,Lützen,1844,Allemagne,"Lützen, Allemagne",51.2558562,12.1417687
Roger Nimier,Paris,1925,France,"Paris, France",48.856614,2.3522219
Laurent Obertone,Jura,1984,France,"Jura, France",46.76247499999999,5.6729159
Michel Onfray,Argentan,1959,France,"Argentan , France",48.744001,-0.016566
José Ortega y Gasset,Madrid,1883,Espagne,"Madrid , Espagne",40.4167754,-3.7037902
Walter F. Otto,Hechingen,1874,Allemagne,"Hechingen , Allemagne",48.3538888,8.9613627
Andrea Palladio,Padoue,1508,Italie,"Padoue , Italie",45.4064349,11.8767611
Parménide,Élée,-515,Italie,"Élée , Italie",40.1586189,15.1572325
Alain Paucard,Paris,1945,France,"Paris, France",48.856614,2.3522219
Louis Pauwels,Paris,1920,France,"Paris, France",48.856614,2.3522219
Patrick Pearse,Dublin,1879,Irlande,"Dublin, Irlande",53.3498053,-6.2603097
Charles Péguy,Orléans,1873,France,"Orléans , France",47.902964,1.909251
Régine Pernoud,Château-Chinon,1909,France,"Château-Chinon, France",47.0569552,3.9244916
François Perroux,Saint-​Romain-en-Gal,1903,France,"Saint-​Romain-en-Gal, France",45.5339179,4.8618349
Fernando Pessoa,Lisbonne,1888,Portugal,"Lisbonne, Portugal",38.7222524,-9.1393366
Pindare,Thèbes,-518,Grèce,"Thèbes, Grèce",38.322579,23.3204309
Platon,Athènes,-428,Grèce,"Athènes, Grèce",37.9838096,23.7275388
Plotin,,205,Egypte,", Egypte",26.820553,30.802498
Plutarque,Chéronée,46,Grèce,"Chéronée , Grèce",38.4948411,22.8443449
Edgar Allan Poe,Boston,1809,USA,"Boston , USA",42.3600825,-71.0588801
Polybe,Mégalopolis,-208,Grèce,"Mégalopolis , Grèce",37.401244,22.1364871
Javier Portella,Barcelone,1947,Espagne,"Barcelone, Espagne",41.3850639,2.1734035
Émile Pouget,Pont-de-Salars,1860,France,"Pont-de-Salars, France",44.28057500000001,2.728135
Enoch Powell,Birmingham,1912,UK,"Birmingham , UK",52.48624299999999,-1.890401
José Antonio Primo de Rivera,Madrid,1903,Espagne,"Madrid , Espagne",40.4167754,-3.7037902
Pierre-Joseph Proudhon,Besançon,1809,France,"Besançon , France",47.237829,6.024053899999999
Jean Raspail,Chemillé-sur-Dême,1925,France,"Chemillé-sur-Dême, France",47.659186,0.649173
Robert Redeker,Lescure,1954,France,"Lescure , France",43.00141,1.24024
Ernest Renan,Tréguier,1823,France,"Tréguier , France",48.7875439,-3.2307769
Olivier Rey,Nantes,1964,France,"Nantes, France",47.218371,-1.553621
Gregor von Rezzori,Czernowitz,1914,Ukraine,"Czernowitz, Ukraine",48.2920787,25.9358367
Mario Rigoni Stern,Asiago,1921,Italie,"Asiago , Italie",45.8758852,11.50962
Rainer Maria Rilke,Prague,1875,Tchéquie,"Prague , Tchéquie",50.0755381,14.4378005
Antoine de Rivarol,Bagnols-sur-Cèze,1753,France,"Bagnols-sur-Cèze, France",44.16252,4.620075
Gabriel Robin,Nantes,1902,France,"Nantes, France",47.218371,-1.553621
Julien Rochedy,Guilherand-Granges,1988,France,"Guilherand-Granges, France",44.9293497,4.862761799999999
Jacqueline de Romilly,Chartres,1913,France,"Chartres , France",48.44385399999999,1.489012
Denis de Rougemont,Couvet,1906,Suisse,"Couvet , Suisse",42.705667,-87.824456
Gaston Roupnel,Laissey,1871,France,"Laissey , France",47.297433,6.231493
Jean-Jacques Rousseau,Genève,1712,Suisse,"Genève , Suisse",46.2043907,6.1431577
Antoine de Saint-Exupéry,Lyon,1900,France,"Lyon , France",45.764043,4.835659
Louis Antoine de Saint-Just,Decize,1767,France,"Decize , France",46.82858299999999,3.461317
Michel de Saint-Pierre,Blois,1916,France,"Blois , France",47.58609209999999,1.3359475
Salluste,San Vittorino,-86,Italie,"San Vittorino, Italie",42.3970865,13.3142384
Lucien de Samosate,Samsat,120,Turquie,"Samsat, Turquie",37.579209,38.482441
Michael Sandel,Minneapolis,1953,USA,"Minneapolis, USA",44.977753,-93.2650108
Friedrich Schlegel,Hanovre,1772,Allemagne,"Hanovre , Allemagne",52.3758916,9.732010400000002
Philippe Schleiter,Paris,1972,France,"Paris, France",48.856614,2.3522219
Carl Schmitt,Plettenberg,1888,Allemagne,"Plettenberg, Allemagne",51.209623,7.8701794
Marcel Schneider,Levallois-Perret,1913,France,"Levallois-Perret, France",48.89321700000001,2.287864
Pierre Schoendoerffer,Chamalières,1928,France,"Chamalières , France",45.77412,3.060484
Ben Schott,Londres,1974,UK,"Londres , UK",51.5073509,-0.1277583
Walter Schubart,Sonneberg,1897,Allemagne,"Sonneberg, Allemagne",50.3601821,11.1709899
Édouard Schuré,Strasbourg,1841,France,"Strasbourg, France",48.5734053,7.752111299999999
Roger Scruton,Buslingthorpe,1944,UK,"Buslingthorpe , UK",53.358777,-0.379902
Léopold Sédar Senghor,Joal,1906,Sénégal,"Joal, Sénégal",14.1811693,-16.8502879
Sénèque,Cordoue,-4,Espagne,"Cordoue, Espagne",37.8881751,-4.7793835
Isidore de Séville,Cartagena,560,Espagne,"Cartagena, Espagne",37.6256827,-0.9965839
William Shakespeare,Stratford-upon-Avon,1564,UK,"Stratford-upon-Avon, UK",52.19173,-1.708298
Mgr Amel Shimoun Nona,Alqosh,1967,Irak,"Alqosh, Irak",42.705667,-87.824456
Emmanuel-Joseph Sieyès,Fréjus,1748,France,"Fréjus , France",43.43315200000001,6.737034
Georg Simmel,Berlin,1858,Allemagne,"Berlin, Allemagne",52.52000659999999,13.404954
Socrate,Athènes,-469,Grèce,"Athènes, Grèce",37.9838096,23.7275388
Werner Sombart,Ermsleben,1863,Allemagne,"Ermsleben, Allemagne",51.73308,11.33572
Sophocle,Athènes,-495,Grèce,"Athènes, Grèce",37.9838096,23.7275388
Rémi Soulié,Decazeville,1968,France,"Decazeville , France",44.560317,2.25183
Oswald Spengler,Blankenburg,1880,Allemagne,"Blankenburg , Allemagne",51.8164261,10.9773091
Stendhal,Grenoble,1783,France,"Grenoble , France",45.188529,5.724524
Robert Steuckers,Uccle,1956,Belgique,"Uccle, Belgique",50.8023982,4.340669999999999
Adalbert Stifter,Oberplan,1805,Tchéquie,"Oberplan, Tchéquie",48.7673652,14.0325721
Wolfgang Streeck,Lengerich,1946,Allemagne,"Lengerich, Allemagne",52.1822998,7.8626385
Pierre-André Taguieff,Paris,1946,France,"Paris , France",48.856614,2.3522219
Hippolyte Taine,Vouziers,1828,France,"Vouziers , France",49.39826499999999,4.700375
Albert Thibaudet,Tournus,1874,France,"Tournus , France",46.561816,4.9119529
Gustave Thibon,Saint-Marcel-d'Ardèche,1903,France,"Saint-Marcel-d'Ardèche, France",44.327406,4.617186999999999
Johannès Thomasset,le Creusot,1895,France,"le Creusot , France",46.80535099999999,4.4278
Thucydide,Athènes,-460,Grèce,"Athènes, Grèce",37.9838096,23.7275388
Alexis de Tocqueville,Paris,1805,France,"Paris, France",48.856614,2.3522219
John Ronald Reuel Tolkien,Bloemfontein,1892,Afrique du Sud,"Bloemfontein, Afrique du Sud",-29.085214,26.1595761
Ivan Tourgueniev,Orel,1818,Russie,"Orel, Russie",52.9668468,36.06248980000001
Michel Tournier,Choisel,1924,France,"Choisel, France",48.686892,2.018651
Arnold Toynbee,"Mayfair, Londres",1852,UK,"Mayfair, Londres, UK",51.5116269,-0.147806
Miguel de Unamuno,Bilbao,1864,Espagne,"Bilbao , Espagne",43.2630126,-2.9349852
Paul Valéry,Sète,1871,France,"Sète, France",43.4078758,3.7008219
Georges Valois,Paris,1878,France,"Paris, France",48.856614,2.3522219
Hubert Védrine,Bellegarde-en-Marche,1947,France,"Bellegarde-en-Marche, France",45.981675,2.294885
Dominique Venner,Paris,1935,France,"Paris , France",48.856614,2.3522219
Bernard de Ventadour,Ventadour,1125,France,"Ventadour , France",45.394847,2.10415
Jean-Pierre Vernant,Provins,1914,France,"Provins, France",48.560149,3.299203
Paul-Émile Victor,Genève,1907,Suisse,"Genève , Suisse",46.2043907,6.1431577
Alban de Villeneuve-Bargemont,Saint-Auban,1784,France,"Saint-Auban, France",43.848478,6.726624999999999
Michel Villey,Caen,1914,France,"Caen, France",49.182863,-0.370679
Henri Vincenot,Dijon,1912,France,"Dijon, France",47.322047,5.04148
Virgile,Lombardie,-70,Italie,"Lombardie , Italie",45.47906709999999,9.8452433
Vladimir Volkoff,Paris,1932,France,"Paris, France",48.856614,2.3522219
Achim von Arnim,Berlin,1781,France,"Berlin, France",52.5172089,13.3804472
Johann Wolfgang von Goethe,Francfort,1832,Allemagne,"Francfort , Allemagne",50.1109221,8.6821267
Ernst von Salomon,Kiel,1902,Allemagne,"Kiel , Allemagne",54.3232927,10.1227651
Friedrich von Schiller,Marbach am Neckar,1759,Allemagne,"Marbach am Neckar , Allemagne",48.939615,9.2645971
Simone Weil,Paris,1909,France,"Paris, France",48.856614,2.3522219
Oscar Wilde,Dublin,1854,Irlande,"Dublin, Irlande",53.3498053,-6.2603097
Francis Wolff,Ivry-sur-Seine,1950,France,"Ivry-sur-Seine, France",48.813055,2.38822
Léon XIII,Carpineto Romano,1810,Italie,"Carpineto Romano, Italie",41.60866439999999,13.0821906
Alexandre Zinoviev,Oblast de Kostroma,1922,Russie,"Oblast de Kostroma , Russie",58.5501069,43.9541102
